title;tags;contentWarn;watched;watching;rating
Attack on Titan 3rd Season;['Action', 'Fantasy', 'Horror', 'Dark Fantasy', 'Isolated Society', 'Military', 'Outside World', 'Political', 'Post-apocalyptic', 'Based on a Manga'];['Cannibalism', 'Explicit Violence'];27910;4909;4.516
Chihayafuru 3;['Drama', 'Josei', 'Romance', 'Sports', 'Love Triangle', 'School Club', 'School Life', 'Tournaments', 'Based on a Manga'];[];1196;882;4.515
JoJo's Bizarre Adventure: Diamond is Unbreakable;['Action', 'Mystery', 'Shounen', 'Proxy Battles', 'Supernatural', 'Based on a Manga'];['Animal Abuse', 'Mature Themes', 'Violence'];13258;2812;4.514
Bakuman. 3;['Drama', 'Shounen', 'Anime Industry', 'Manga Industry', 'Otaku Culture', 'Voice Acting', 'Writers', 'Based on a Manga'];[];13066;935;4.513
Natsume's Book of Friends Movie: Ephemeral Bond;['Drama', 'Fantasy', 'Shoujo', 'Bodyguards', 'Cats', 'Countryside', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga'];[];1131;68;4.512
My Hero Academia;['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'School Life', 'Superheroes', 'Superpowers', 'Weak to Strong', 'Based on a Manga'];[];78931;11022;4.512
JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt;['Action', 'Adventure', 'Comedy', 'Shounen', 'Monster-of-the-week', 'Proxy Battles', 'Supernatural', 'Based on a Manga'];['Animal Abuse', 'Explicit Violence', 'Mature Themes'];15812;1910;4.509
Violet Evergarden;;;;;
That Time I Got Reincarnated as a Slime;['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Cheats', 'Demons', 'Isekai', 'Magic', 'Modern Knowledge', 'Monsters', 'Non-Human Protagonists', 'Overpowered Main Characters', 'Person in a Strange World', 'Political', 'Reincarnation', 'RPG', 'Slimes', 'Based on a Manga'];['Violence'];24765;8432;4.507
Given;['BL', 'Drama', 'Shounen-ai', 'Music', 'noitaminA', 'Based on a Manga'];['Mature Themes', 'Suicide'];7106;1794;4.508
Kamisama Kiss: Kako-hen;['Comedy', 'Romance', 'Shoujo', 'Animal Characteristics', 'Interspecies Relationship', 'Japanese Mythology', 'Master-Servant Relationship', 'Non-Human Protagonists', 'Based on a Manga'];[];10021;990;4.507
Kuroko's Basketball 2;['Shounen', 'Sports', 'Basketball', 'School Club', 'Tournaments', 'Based on a Manga'];[];28445;2024;4.504
Youjo Senki: Saga of Tanya the Evil Movie;['Action', 'Fantasy', 'Guns', 'Isekai', 'Military', 'Person in a Strange World', 'Reincarnation', 'War', 'Based on a Light Novel'];['Violence'];4272;221;4.503
Natsume's Book of Friends Season 6 Specials;['Drama', 'Fantasy', 'Shoujo', 'Bodyguards', 'Cats', 'Countryside', 'Episodic', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga'];[];1870;174;4.501
The Boy and the Beast;['Action', 'Fantasy', 'Anthropomorphic', 'Coming of Age', 'Isekai', 'Japanese Mythology', 'Non-Human Protagonists', 'Person in a Strange World', 'Original Work'];[];15321;212;4.501
Death Note;['Mystery', 'Shounen', 'Criminals', 'Detectives', 'Mind Games', 'Overpowered Main Characters', 'Psychological', 'Psychopaths', 'Rivalries', 'Serial Killers', 'Shinigami', 'Supernatural', 'Thriller', 'Vigilantes', 'Based on a Manga'];[];161567;11048;4.501
Parasyte -the maxim-;['Action', 'Drama', 'Horror', 'Sci Fi', 'Seinen', 'Aliens', 'Body Sharing', 'Psychological', 'Based on a Manga'];['Animal Abuse', 'Bullying', 'Explicit Violence', 'Mature Themes'];50239;6302;4.497
Major Season 5;;;;;
Food Wars! The Second Plate;['Comedy', 'Ecchi', 'Shounen', 'Cooking', 'Culinary School', 'Food and Beverage', 'School Life', 'Tournaments', 'Based on a Manga'];[];31105;2762;4.497
Fruits Basket 1st Season;['Comedy', 'Drama', 'Fantasy', 'Romance', 'Shoujo', 'Animal Transformation', 'Contemporary Fantasy', 'Curse', 'Love Triangle', 'Based on a Manga'];['Emotional Abuse'];9059;5764;4.496
Made in Abyss Movie: Dawn of the Deep Soul;['Adventure', 'Fantasy', 'Mystery', 'Sci Fi', 'Seinen', 'Curse', 'Dark Fantasy', 'Human Experimentation', 'Non-Human Protagonists', 'Orphans', 'Outside World', 'Robots', 'Based on a Manga'];['Explicit Violence'];344;78;4.495
The Rising of the Shield Hero;['Action', 'Adventure', 'Drama', 'Fantasy', 'Seinen', 'Animal Characteristics', 'Dark Fantasy', 'Demons', 'Isekai', 'Monsters', 'Person in a Strange World', 'RPG', 'Summoned Into Another World', 'Based on a Light Novel'];['Violence'];25990;10092;4.494
The Garden of Sinners Movie 7: ......Not Nothing Heart. (Murder Speculation Part B);['Mystery', 'Overpowered Main Characters', 'Supernatural', 'Based on a Light Novel'];[];8525;147;4.494
Mob Psycho 100;['Action', 'Comedy', 'Shounen', 'Overpowered Main Characters', 'Psychic Powers', 'Psychological', 'School Life', 'Supernatural', 'Superpowers', 'Based on a Manga'];['Violence'];34423;3716;4.493
Mushishi;;;;;
Fate/stay night: Heaven's Feel II. lost butterfly;['Action', 'Fantasy', 'Romance', 'Magic', 'Superpowers', 'Based on an Eroge', 'Based on a Visual Novel'];['Emotional Abuse', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse', 'Sexual Content', 'Violence'];2455;133;4.489
Attack on Titan;['Action', 'Fantasy', 'Horror', 'Shounen', 'Dark Fantasy', 'Isolated Society', 'Military', 'Outside World', 'Overpowered Main Characters', 'Post-apocalyptic', 'Revenge', 'Based on a Manga'];['Cannibalism', 'Explicit Violence', 'Mature Themes', 'Suicide'];121565;11986;4.488
Gintama: Shinyaku Benizakura-hen;['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Feudal Japan', 'Recap', 'Samurai', 'Swordplay', 'Based on a Manga'];[];8129;109;4.488
Ghost in the Shell: Stand Alone Complex 2nd Gig;['Sci Fi', 'Seinen', 'Cyberpunk', 'Cyborgs', 'Hacking', 'Noir', 'Based on a Manga'];[];23023;1039;4.486
Ascendance of a Bookworm: Part II;;;;;
Hellsing Ultimate;['Action', 'Horror', 'Seinen', 'Conspiracy', 'England', 'Europe', 'Guns', 'Master-Servant Relationship', 'Non-Human Protagonists', 'Overpowered Main Characters', 'Religion', 'Supernatural', 'Vampires', 'Based on a Manga'];['Explicit Sex', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse', 'Suicide'];31968;15732;4.485
My Hero Academia Movie 2: Heroes:Rising;['Action', 'Sci Fi', 'Shounen', 'Superheroes', 'Superpowers', 'Based on a Manga'];[];2759;282;4.489
Quan Zhi Gao Shou (2018);['Action', 'Drama', 'Chinese Animation', 'MMORPG', 'RPG', 'Tournaments', 'Based on a Novel'];[];4066;258;4.483
Rakshasa Street 2nd Season;['Action', 'Shounen', 'Chinese Animation', 'Supernatural'];[];;47;4.482
Food Wars! Shokugeki no Souma;['Comedy', 'Ecchi', 'Shounen', 'Animeism', 'Boarding House', 'Cooking', 'Culinary School', 'Food and Beverage', 'Neighbors', 'School Life', 'Based on a Manga'];[];41823;6008;4.482
Food Wars! The Third Plate;['Comedy', 'Ecchi', 'Shounen', 'Boarding House', 'Cooking', 'Culinary School', 'Food and Beverage', 'Neighbors', 'School Life', 'Tournaments', 'Based on a Manga'];[];21203;2544;4.481
Barakamon;['Comedy', 'Shounen', 'Slice of Life', 'Art', 'Countryside', 'Island', 'Iyashikei', 'Lifestyle Change', 'Based on a Manga'];[];18779;1621;4.48
No Game No Life: Zero;['Action', 'Adventure', 'Drama', 'Fantasy', 'High Stakes Games', 'War', 'Based on a Light Novel'];[];18707;615;4.479
Legend of the Galactic Heroes: Die Neue These Second 3;['Sci Fi', 'Based on a Novel'];[];437;17;4.481
Kingdom 3;['Action', 'Drama', 'Seinen', 'Ancient China', 'Historical', 'Political', 'War', 'Based on a Manga'];[];;515;4.476
Noragami Aragoto;['Action', 'Drama', 'Shounen', 'Ghosts', 'Gods', 'Japanese Mythology', 'Non-Human Protagonists', 'Supernatural', 'Based on a Manga'];['Violence'];39954;3028;4.475
Chihayafuru 2;['Drama', 'Josei', 'Romance', 'Sports', 'Love Triangle', 'School Club', 'School Life', 'Tournaments', 'Based on a Manga'];[];10530;849;4.475
Natsume's Book of Friends Season 5 Specials;['Shoujo', 'Slice of Life', 'Bodyguards', 'Cats', 'Countryside', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga'];[];1854;103;4.475
Attack on Titan 2nd Season;['Action', 'Fantasy', 'Horror', 'Shounen', 'Dark Fantasy', 'Isolated Society', 'Military', 'Outside World', 'Overpowered Main Characters', 'Post-apocalyptic', 'Based on a Manga'];['Cannibalism', 'Explicit Violence'];48059;5699;4.474
Shouwa Genroku Rakugo Shinjuu;['Drama', 'Josei', 'Romance', 'Adult Couples', 'Animeism', 'Apprenticeship', 'Historical', 'Love Triangle', 'Rakugo', 'Based on a Manga'];[];4038;882;4.471
Kono Oto Tomare! 2nd Season;['Drama', 'Romance', 'Shounen', 'Music', 'School Life', 'Based on a Manga'];[];1791;381;4.469
Tengen Toppa Gurren Lagann;['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci Fi', 'Combining Mecha', 'Post-apocalyptic', 'Super Robot', 'Original Work'];['Violence'];61088;5472;4.469
Black Butler: Book of the Atlantic;['Shounen', '19th Century', 'Butlers', 'Demons', 'Europe', 'Master-Servant Relationship', 'Non-Human Protagonists', 'Supernatural', 'Zombies', 'Based on a Manga'];[];7576;356;4.467
No Game No Life;['Adventure', 'Ecchi', 'Fantasy', 'High Stakes Games', 'Isekai', 'NEET', 'Overpowered Main Characters', 'Person in a Strange World', 'PVP', 'Royalty', 'Siblings', 'Based on a Light Novel'];[];74587;4367;4.468
Anohana: The Flower We Saw That Day;['Drama', 'Romance', 'Childhood Friends', 'Coming of Age', 'Ghosts', 'Melancholy', 'noitaminA', 'Supernatural', 'Unrequited Love', 'Original Work'];[];44993;2083;4.467
Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun;['Shounen', 'Sports', 'Volleyball', 'Based on a Manga'];[];3448;117;4.467
Bakuman. 2;['Drama', 'Shounen', 'Anime Industry', 'Manga Industry', 'Otaku Culture', 'Voice Acting', 'Writers', 'Based on a Manga'];[];15547;1203;4.465
Food Wars! The Third Plate: Totsuki Train Arc;['Comedy', 'Ecchi', 'Shounen', 'Cooking', 'Culinary School', 'Food and Beverage', 'School Life', 'Tournaments', 'Based on a Manga'];[];15034;2133;4.465
Dororo (2019);['Action', 'Adventure', 'Shounen', '15th Century', 'Curse', 'Deal with the Devil', 'Demons', 'Feudal Japan', 'Historical', 'Samurai', 'Supernatural', 'War', 'Based on a Manga'];['Animal Abuse', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Sexual Content'];11331;5573;4.465
The Seven Deadly Sins: Revival of The Commandments;['Action', 'Adventure', 'Fantasy', 'Shounen', 'Demons', 'Magic', 'Medieval', 'Non-Human Protagonists', 'Overpowered Main Characters', 'Royalty', 'Superpowers', 'Based on a Manga'];['Violence'];24912;4593;4.463
Overlord III;['Action', 'Fantasy', 'Sci Fi', 'Dark Fantasy', 'Magic', 'Overpowered Main Characters', 'Person in a Strange World', 'RPG', 'Skeletons', 'Trapped in a Video Game', 'Virtual Reality', 'Based on a Light Novel'];[];21012;2246;4.463
Attack on Titan: No Regrets;['Action', 'Fantasy', 'Shoujo', 'Dark Fantasy', 'Isolated Society', 'Military', 'Outside World', 'Post-apocalyptic', 'Based on a Manga'];['Cannibalism', 'Explicit Violence'];16949;840;4.462
Spice and Wolf II;['Adventure', 'Drama', 'Fantasy', 'Romance', 'Adult Couples', 'Animal Characteristics', 'Animal Transformation', 'Economics', 'God-Human Relationship', 'Gods', 'Interspecies Relationship', 'Mature Romance', 'Medieval', 'Non-Human Protagonists', 'Based on a Light Novel'];[];28933;1563;4.46
The Disastrous Life of Saiki K. 3;['Comedy', 'Shounen', 'Breaking the Fourth Wall', 'Gag', 'Psychic Powers', 'Supernatural', 'Superpowers', 'Based on a Manga'];[];4567;180;4.459
Evangelion: 2.0 You Can (Not) Advance;['Action', 'Drama', 'Mecha', 'Sci Fi', 'Post-apocalyptic', 'Super Robot', 'Original Work'];['Violence'];24214;221;4.459
One Piece Movie 10: Strong World;['Action', 'Adventure', 'Fantasy', 'Shounen', 'Pirates', 'Superpowers', 'Based on a Manga'];[];18940;172;4.458
